county,precinct,office,district,candidate,party,votes,,
Kanawha,102,PRESIDENT,,Walter Mondale,DEM,142,,
Kanawha,103,PRESIDENT,,Walter Mondale,DEM,207,,
Kanawha,104,PRESIDENT,,Walter Mondale,DEM,145,,
Kanawha,105,PRESIDENT,,Walter Mondale,DEM,247,,
Kanawha,106,PRESIDENT,,Walter Mondale,DEM,252,,
Kanawha,107,PRESIDENT,,Walter Mondale,DEM,89,,
Kanawha,108,PRESIDENT,,Walter Mondale,DEM,190,,
Kanawha,109,PRESIDENT,,Walter Mondale,DEM,202,,
Kanawha,110,PRESIDENT,,Walter Mondale,DEM,180,,
Kanawha,111,PRESIDENT,,Walter Mondale,DEM,131,,
Kanawha,112,PRESIDENT,,Walter Mondale,DEM,177,,
Kanawha,113,PRESIDENT,,Walter Mondale,DEM,178,,
Kanawha,114,PRESIDENT,,Walter Mondale,DEM,200,,
Kanawha,115,PRESIDENT,,Walter Mondale,DEM,162,,
Kanawha,116,PRESIDENT,,Walter Mondale,DEM,223,,
Kanawha,117,PRESIDENT,,Walter Mondale,DEM,266,,
Kanawha,118,PRESIDENT,,Walter Mondale,DEM,131,,
Kanawha,119,PRESIDENT,,Walter Mondale,DEM,203,,
Kanawha,120,PRESIDENT,,Walter Mondale,DEM,86,,
Kanawha,121,PRESIDENT,,Walter Mondale,DEM,241,,
Kanawha,122,PRESIDENT,,Walter Mondale,DEM,139,,
Kanawha,123,PRESIDENT,,Walter Mondale,DEM,157,,
Kanawha,131,PRESIDENT,,Walter Mondale,DEM,215,,
Kanawha,132,PRESIDENT,,Walter Mondale,DEM,90,,
Kanawha,133,PRESIDENT,,Walter Mondale,DEM,162,,
Kanawha,134,PRESIDENT,,Walter Mondale,DEM,208,,
Kanawha,136,PRESIDENT,,Walter Mondale,DEM,242,,
Kanawha,137,PRESIDENT,,Walter Mondale,DEM,204,,
Kanawha,138,PRESIDENT,,Walter Mondale,DEM,279,,
Kanawha,139,PRESIDENT,,Walter Mondale,DEM,138,,
Kanawha,140,PRESIDENT,,Walter Mondale,DEM,144,,
Kanawha,141,PRESIDENT,,Walter Mondale,DEM,90,,
Kanawha,142,PRESIDENT,,Walter Mondale,DEM,127,,
Kanawha,143,PRESIDENT,,Walter Mondale,DEM,284,,
Kanawha,144,PRESIDENT,,Walter Mondale,DEM,109,,
Kanawha,145,PRESIDENT,,Walter Mondale,DEM,183,,
Kanawha,146,PRESIDENT,,Walter Mondale,DEM,167,,
Kanawha,147,PRESIDENT,,Walter Mondale,DEM,217,,
Kanawha,148,PRESIDENT,,Walter Mondale,DEM,175,,
Kanawha,149,PRESIDENT,,Walter Mondale,DEM,245,,
Kanawha,150,PRESIDENT,,Walter Mondale,DEM,164,,
